"","State","County","Tract","Median_Income_past_12months_Total","Race_Wht","Race_Blk","Race_Lat","Race_Asn","Race_Am_Indn","Race_Isl","Race_Other","Race_Two","Lat_Orgn","NonLat_Orgn","Income_Wht","Income_Blk","Income_NonLat","Income_Lat","Income_Natv","Income_Asn","Income_Isl","Income_Other","Income_TwoRaces","Income_Under10k","Income_10k","Income_20k","Income_30k","Income_40k","Income_50k","Income_60k","Income_70k","Income_80k","Income_90k","Income_100_199k","Income_200_249k","Income_250_499k","Income_500k_up","Income_Imputed","Vacancy_Status","Occupation_16_up","Educational_Attainment_25yrs_up","Employment_Status","Poverty_Status_Past12","Food_Stamps","Total_Housing_Units","Gini_Income_Ineq"
"46","25","017","373500",45221,5092,116,6197,598,0,0,151,240,6197,5800,1676,28,1626,80,0,131,0,39,0,0,0,0,0,0,0,13,0,0,0,7,0,38,38,932,92,325,141,393,103,41,1966,0.525
"47","25","017","373600",6167,4985,313,6222,659,0,0,83,182,6222,5708,885,25,853,41,0,53,0,0,8,0,0,0,0,19,0,0,0,0,0,0,0,30,30,843,74,379,71,573,23,0,1045,0.5131
"143","25","021","400100",46967,3809,89,4782,612,0,2,183,87,4782,4265,1946,38,1797,214,0,264,0,65,32,0,0,0,0,0,0,0,0,0,0,0,0,48,48,972,236,455,213,281,38,47,2581,0.5509
"144","25","021","400200",45321,3920,178,5604,1298,0,0,32,176,5604,5283,1871,64,1782,100,0,629,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0,97,97,748,388,283,149,226,0,29,3020,0.5585
"145","25","021","400300",NA,3554,3,4403,589,0,18,116,123,4403,4092,1358,0,1293,87,0,257,0,22,50,0,0,0,0,0,0,0,0,0,0,0,11,52,52,679,54,282,173,291,68,54,1741,0.4482
"146","25","021","400400",50564,5181,114,6129,739,0,0,46,49,6129,5706,2527,47,2361,176,0,368,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,117,117,644,0,272,163,434,92,18,2952,0.5668
"148","25","021","400600",NA,3796,26,4965,919,14,0,52,158,4965,4636,1807,0,1677,130,14,323,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,258,258,703,123,286,239,277,43,27,2321,0.5568
"151","25","021","400900",NA,2897,367,4268,909,0,0,40,55,4268,3899,1461,158,1320,151,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,106,106,419,153,256,132,118,62,4,2153,0.5452
"153","25","021","401100",NA,3712,67,4596,575,7,0,53,182,4596,4362,1346,9,1302,99,0,201,0,41,7,0,0,0,0,0,0,0,0,0,0,9,0,37,37,828,127,197,164,267,184,48,1731,0.5033
"154","25","021","401200",56714,4996,387,7164,1564,0,0,48,169,7164,6946,1896,118,1844,52,0,509,0,12,25,37,11,0,0,0,0,14,0,0,0,10,0,53,53,910,169,274,251,369,60,31,2729,0.4819
